Created By ID,Created Date,Date,Deleted,Last Modified By ID,Last Modified Date,Last Referenced Date,Last Viewed Date,Line Description,Line Item ID,Opportunity ID,Product Name,Price Book Entry ID,Product Code,Product ID,System Modstamp,Discount,List Price,Quantity,Sales Price,Sort Order,Subtotal,Total Price
0055A000008zqzaQAA,11/5/2020 13:15,,FALSE,0055A000008zqzaQAA,11/5/2020 13:15,,,,00k5A00000sKtBwQAK,0065A00001bgFNxQAM,Organic Cotton T-Shirt,01u5A000018IUPcQAO,850-00050,01t5A000007ighaQAA,11/5/2020 13:15,,"$4,000.00 ",3,"$4,000.00 ",,"$12,000.00 ","$12,000.00 "
0055A00000BcmLTQAZ,3/10/2021 15:10,,FALSE,0055A00000BcmLTQAZ,3/10/2021 15:11,,,,00k5A00000v1ed2QAA,0065A00001dL9RLQA0,Garden Hose,01u31000012MndZAAS,415-00042,01t31000007WT5yAAG,3/10/2021 15:11,5,$199.00 ,2,$199.00 ,5,$398.00 ,$378.10 
0055A00000BcmLTQAZ,3/10/2021 15:10,,FALSE,0055A00000BcmLTQAZ,3/10/2021 15:11,,,,00k5A00000v1ed0QAA,0065A00001dL9RLQA0,Organic Cotton T-Shirt,01u5A000017CLgWQAW,820-00807,01t5A000007lypvQAA,3/10/2021 15:11,5,$199.00 ,1,$199.00 ,3,$199.00 ,$189.05 
0055A000009GxI2QAK,6/14/2021 21:47,,FALSE,0055A000009GxI2QAK,6/14/2021 21:47,,,,00k6e00000v3kadAAA,0066e00001eMk29AAC,Smart Home Security Camera,01u6e0000195w0rAAA,720-00080,01t6e000008tr9QAAQ,6/14/2021 21:47,76,"$6,250.00 ",1,"$6,250.00 ",,"$6,250.00 ","$1,500.00 "
0055A000008iLoOQAU,8/20/2020 13:18,,FALSE,0055A000008iLoOQAU,8/20/2020 13:18,,,,00k5A00000sJpc5QAC,0065A00001bO565QAC,Bike Helmet,01u5A000018IUPLQA4,850-00034,01t31000007WXnRAAW,8/20/2020 13:18,,$695.00 ,1,$695.00 ,,$695.00 ,$695.00 
0055A000008zqzaQAA,8/20/2020 13:30,,FALSE,0055A000008zqzaQAA,8/20/2020 13:30,,,,00k5A00000sJpcAQAS,0065A00001WkqQrQAJ,Yoga Mat,01u5A000018IbKWQA0,ZC-TRN-1DUS,01t5A000008sgzMQAQ,8/20/2020 13:30,,"$5,000.00 ",1,"$5,000.00 ",,"$5,000.00 ","$5,000.00 "
0055A000008zqzaQAA,8/20/2020 13:30,,FALSE,0055A000008zqzaQAA,8/20/2020 13:30,,,,00k5A00000sJpcBQAS,0065A00001WkqQrQAJ,Smart Home Security Camera,01u5A000018IUPEQA4,ZCIM-01-0-0-01,01t31000007WXmiAAG,8/20/2020 13:30,,"$51,250.00 ",1,"$51,250.00 ",,"$51,250.00 ","$51,250.00 "
0055A000008zqzaQAA,8/20/2020 13:08,,FALSE,0055A000008zqzaQAA,8/20/2020 13:08,,,,00k5A00000sJpc0QAC,0065A00001F9PCBQA3,Wireless Earbuds,01u5A000018UeVfQAK,850-00058,01t5A000008iQewQAE,8/20/2020 13:08,,"$4,600.00 ",6,"$4,600.00 ",,"$27,600.00 ","$27,600.00 "
0055A000008iLoOQAU,6/15/2021 16:16,,FALSE,0055A000008iLoOQAU,6/15/2021 16:16,,,,00k6e00000v3lDYAAY,0066e00001eMnQzAAK,Men's Running Shoes,01u5A0000195qkMQAQ,850-00050,01t5A000007ighaQAA,6/15/2021 16:16,,"$4,000.00 ",1,"$4,000.00 ",,"$4,000.00 ","$4,000.00 "
0055A000008iLoOQAU,11/5/2020 18:35,,FALSE,0055A000008iLoOQAU,11/5/2020 18:35,,,,00k5A00000sKtF4QAK,0065A00001cKIcbQAG,Camping Tent,01u5A000018IUPlQAO,850-00048,01t5A000007m0baQAA,11/5/2020 18:35,,$695.00 ,1,$695.00 ,,$695.00 ,$695.00 
0055A000008iLoOQAU,11/5/2020 18:35,,FALSE,0055A000008iLoOQAU,11/5/2020 18:35,,,,00k5A00000sKtF5QAK,0065A00001cKIcbQAG,Yoga Mat,01u5A000018IUPLQA4,850-00034,01t31000007WXnRAAW,11/5/2020 18:35,,$695.00 ,1,$695.00 ,,$695.00 ,$695.00 
